column,n_unique,missing,missing_ratio,top_values
season,6,0,0.0,"2024=334226, 2023=315100, 2022=307637, 2021=301032, 2020=279126, 2019=255957"
game_date,1059,0,0.0,"06/26/2021=3470, 2023-09-09=3395, 2023-04-28=3374, 2023-04-26=3268, 2024-05-08=3198, 2023-05-14=3194, 05/09/2021=3186, 2023-06-14=3165, 2023-04-30=3135, 2023-05-12=3123"
game_month,9,0,0.0,"5=322449, 6=318442, 9=277933, 4=261023, 8=247860, 7=198818, 10=126176, 3=28815, 11=11562"
game_dayofweek,7,0,0.0,"4=309594, 5=308098, 2=302977, 6=285375, 1=285120, 3=284215, 0=17699"
trackman_game_id,5980,0,0.0,"20240625-Sajik-1=475, 20240331-Sajik-1=470, 20200913-Gocheok-1=468, 20200904-Jamsil-1=463, 20210526-Suwon-1=462, 20210626-NCDinosMajors-1=462, 20190412-Incheon-1=458, 20200811-Gocheok-1=454, 20240609-Daejeon-1=453, 20210407-Gocheok-1=450"
inning,14,0,0.0,"1=209349, 7=204970, 6=203483, 8=203422, 5=201128, 3=199561, 4=199347, 2=198015, 9=153109, 10=12539"
top_bottom,2,0,0.0,"Top=916993, Bottom=876085"
balls_before,5,0,0.0,"0=792304, 1=538847, 2=308784, 3=153142, 4=1"
strikes_before,4,0,0.0,"0=750446, 1=542751, 2=499880, 3=1"
outs_before,5,0,0.0,"0=616191, 1=596959, 2=579833, 3=83, 4=12"
pitch_of_pa,19,0,0.0,"1=466163, 2=410299, 3=337338, 4=258065, 5=169667, 6=90897, 7=37468, 8=14538, 9=5532, 10=2002"
pitcher_hand,2,0,0.0,"Right=1343118, Left=449960"
batter_hand,2,0,0.0,"Right=967537, Left=825541"
pitcher_team,26,0,0.0,"DOO_BEA=128074, NC_DIN=127091, LG_TWI=125354, HAN_EAG=124574, KIW_HER=124418, KT_WIZ=123456, LOT_GIA=123357, SAM_LIO=122442, SSG_LAN=84767, MIN_NCD=68421"
batter_team,26,0,0.0,"KT_WIZ=131422, KIW_HER=128325, LG_TWI=127267, NC_DIN=126082, DOO_BEA=124893, HAN_EAG=121125, LOT_GIA=120402, SAM_LIO=120235, SSG_LAN=83232, KIA_TIG=66216"
tagged_pitch_type,17,0,0.0,"Fastball=835886, Slider=359226, Curveball=174359, ChangeUp=170859, Splitter=101926, Sinker=101734, Cutter=37907, Undefined=7827, Other=2375, Sweeper=469"
auto_pitch_type,11,72,0.0,"Fastball=417848, Four-Seam=336375, Slider=328182, Changeup=185311, Curveball=184666, Sinker=121539, ChangeUp=90324, Cutter=55354, Splitter=51174, Other=12263"
pitch_type_group,4,0,0.0,"fastball=931120, breaking=512851, offspeed=326809, other=22298"
