,count,mean,std,min,25%,50%,75%,max,missing,missing_ratio,skew
trackman_id,1793078.0,896539.5,517617.1773272575,1.0,448270.25,896539.5,1344808.75,1793078.0,0,0.0,-1.3493524308750882e-16
pitch_no,1793078.0,153.8761364536289,91.55453507667502,1.0,76.0,151.0,227.0,475.0,0,0.0,0.17080531786316272
pitcher_trackman_id,1793078.0,146324.92575169625,725305.8881204632,50008.0,61268.0,66609.0,70425.0,71775155.0,0,0.0,81.20413009495715
batter_trackman_id,1793078.0,107693.27023252753,682284.6871311866,50007.0,62700.0,66807.0,75151.0,93595155.0,0,0.0,109.93304749928228
rel_speed,1785461.0,135.96416504689824,9.371722706217874,71.6818,129.576,137.412,143.284,160.664,7617,0.0042,-0.5620240147995894
spin_rate,1780613.0,2169.9692927306496,338.07219853369287,434.9,2056.26,2223.17,2362.27,3695.92,12465,0.007,-1.1950310815168532
induced_vert_break,1783016.0,25.783769424597196,24.3293951372711,-81.8097,11.2573,30.104950000000002,45.415425,153.326,10062,0.0056,-0.8415012909616777
horz_break,1782745.0,9.454166139613681,25.890692348912705,-78.9232,-10.8654,12.9918,30.5472,103.699,10333,0.0058,-0.2795829583939098
extension,1785362.0,1.7591286096606737,0.16692099210444927,-0.387376,1.64754,1.76003,1.87121,3.84514,7716,0.0043,-0.0428846570518327
rel_height,1785461.0,1.7031630181965889,0.24983983753781058,0.0971153,1.67316,1.76115,1.83778,2.5121,7617,0.0042,-2.520844984725309
rel_side,1785460.0,0.2637446991192447,0.5320781401450616,-2.28866,-0.052388500000000005,0.4305135,0.62370725,1.66635,7618,0.0042,-0.7532830111124744
zone_speed,1785157.0,124.59041426378744,8.385569337969057,62.7546,119.191,125.915,130.946,148.296,7921,0.0044,-0.6296589146216266
