,count,mean,std,min,50%,max,missing_ratio,skew
season,1793078.0,2021.6411,1.6935,2019.0,2022.0,2024.0,0.0,-0.096
inning,1793078.0,4.9558,2.5949,0.0,5.0,13.0,0.0,0.0603
balls_before,1793078.0,0.9012,0.9726,0.0,1.0,4.0,0.0,0.7555
strikes_before,1793078.0,0.8603,0.8233,0.0,1.0,3.0,0.0,0.2637
outs_before,1793078.0,0.9798,0.8166,0.0,1.0,4.0,0.0,0.0379
pitch_of_pa,1793078.0,2.8922,1.7275,1.0,3.0,19.0,0.0,0.9169
pitch_no,1793078.0,153.8761,91.5545,1.0,151.0,475.0,0.0,0.1708
rel_speed,1785461.0,135.9642,9.3717,71.6818,137.412,160.664,0.0042,-0.562
spin_rate,1780613.0,2169.9693,338.0722,434.9,2223.17,3695.92,0.007,-1.195
induced_vert_break,1783016.0,25.7838,24.3294,-81.8097,30.105,153.326,0.0056,-0.8415
horz_break,1782745.0,9.4542,25.8907,-78.9232,12.9918,103.699,0.0058,-0.2796
extension,1785362.0,1.7591,0.1669,-0.3874,1.76,3.8451,0.0043,-0.0429
rel_height,1785461.0,1.7032,0.2498,0.0971,1.7612,2.5121,0.0042,-2.5208
rel_side,1785460.0,0.2637,0.5321,-2.2887,0.4305,1.6664,0.0042,-0.7533
zone_speed,1785157.0,124.5904,8.3856,62.7546,125.915,148.296,0.0044,-0.6297
