,importance
asof_pitcher_success_rate,0.12465514820663966
asof_pitcher_reverse_rate,0.09735084289094462
asof_pitcher_prev5_game_success_rate,0.08293325366881403
asof_pitcher_prev3_game_success_rate,0.07018044637283546
asof_batter_success_rate,0.06705488335290946
game_type,0.06039078257288877
season,0.046512080753652964
asof_pitcher_prev1_game_success_rate,0.044009714383352265
asof_batter_middle_rate,0.036928952893072506
asof_pitcher_ball_rate,0.03510259064555479
asof_batter_n,0.025425553442255597
asof_pitcher_middle_rate,0.023836210912001377
asof_pitcher_strike_rate,0.02266294199644104
asof_pitcher_n,0.022412303246406196
asof_pitcher_offspeed_rate,0.02092893456459833
asof_pitcher_breaking_rate,0.0199192573435903
asof_pitcher_fastball_rate,0.019396793356883397
asof_pitcher_prev5_game_middle_rate,0.01891680278041913
asof_pitcher_prev3_game_middle_rate,0.01638421849426373
asof_pitcher_prev1_game_middle_rate,0.014442835447257513
li,0.013753866044371338
home_win_expectancy,0.013494024284276053
away_win_expectancy,0.012625659036339299
pitcher_team_id,0.012493561326136684
run_total_before,0.007907850924537746
batter_team_id,0.007222726075788814
score_diff_pitcher_team,0.007047870429506948
inning,0.007039776983169169
game_month,0.00566984039104016
run_top_before,0.005618180308895491
score_diff_home,0.005480955803046517
run_bot_before,0.004950715223591001
balls_before,0.004460206638608682
base_state,0.0037524393046253256
game_dayofweek,0.0035177290153989493
strikes_before,0.0027511430678049675
outs_before,0.0023747047438514696
batter_hand,0.0021457585731209402
num_runners_on,0.002121818417346832
pitcher_hand,0.0020859800155033693
top_bottom,0.0013055615670811728
runner_on_1b,0.0012383035392689323
runner_on_2b,0.0009870747197518403
runner_on_3b,0.000509706242157348
