,count,mean,std,min,50%,max,missing_ratio,skew,mean_target0,mean_target1,corr_with_target
balls_before,1475092.0,0.8985,0.9697,0.0,1.0,3.0,0.0,0.7571,0.9107,0.8873,-0.0121
strikes_before,1475092.0,0.8719,0.8246,0.0,1.0,2.0,0.0,0.2414,0.8763,0.8679,-0.0051
outs_before,1475092.0,0.9814,0.8167,0.0,1.0,2.0,0.0,0.0341,0.9781,0.9845,0.0039
num_runners_on,1475092.0,0.6788,0.8337,0.0,0.0,3.0,0.0,0.9986,0.6791,0.6784,-0.0004
run_top_before,1475092.0,2.5579,2.9142,0.0,2.0,30.0,0.0,1.6249,2.583,2.535,-0.0082
run_bot_before,1475092.0,2.357,2.7664,0.0,1.0,26.0,0.0,1.5814,2.3853,2.3313,-0.0098
run_total_before,1475092.0,4.9149,4.5006,0.0,4.0,37.0,0.0,1.1812,4.9683,4.8663,-0.0113
score_diff_home,1475092.0,-0.2008,3.4692,-27.0,0.0,20.0,0.0,-0.1077,-0.1977,-0.2037,-0.0009
score_diff_pitcher_team,1475092.0,0.0601,3.4745,-27.0,0.0,27.0,0.0,0.0348,0.0391,0.0792,0.0058
home_win_expectancy,1475092.0,50.2695,30.2688,0.0,52.2,100.0,0.0,-0.0227,50.255,50.2827,0.0005
away_win_expectancy,1475092.0,49.7319,30.2686,0.0,47.8,100.0,0.0,0.0227,49.7464,49.7187,-0.0005
li,1475092.0,0.9818,0.8924,0.0,0.8,10.83,0.0,2.2273,0.9778,0.9855,0.0043
asof_pitcher_n,1475092.0,2661.323,2690.0126,0.0,1776.0,15449.0,0.0,1.5902,2694.0848,2631.5344,-0.0116
asof_pitcher_success_rate,1474300.0,0.5352,0.0618,0.0,0.532,1.0,0.0005,0.2351,0.5298,0.5402,0.0843
asof_pitcher_reverse_rate,1474300.0,0.2152,0.0607,0.0,0.218,1.0,0.0005,0.4944,0.2203,0.2106,-0.0795
asof_pitcher_middle_rate,1474300.0,0.1419,0.0318,0.0,0.1419,1.0,0.0005,2.232,0.1431,0.1408,-0.0361
asof_pitcher_ball_rate,1474300.0,0.3722,0.0418,0.0,0.3694,1.0,0.0005,1.9024,0.373,0.3715,-0.0177
asof_pitcher_strike_rate,1474300.0,0.4419,0.0396,0.0,0.4423,1.0,0.0005,-0.1364,0.4417,0.442,0.0039
asof_pitcher_prev1_game_success_rate,1445907.0,0.5234,0.1359,0.0,0.5238,1.0,0.0198,-0.0742,0.5146,0.5314,0.0617
asof_pitcher_prev3_game_success_rate,1445907.0,0.5238,0.0917,0.0,0.5217,1.0,0.0198,0.1386,0.5164,0.5307,0.0778
asof_pitcher_prev5_game_success_rate,1445907.0,0.5244,0.0808,0.0,0.5217,1.0,0.0198,0.246,0.5175,0.5307,0.0816
asof_pitcher_prev1_game_middle_rate,1445907.0,0.1506,0.0924,0.0,0.1414,1.0,0.0198,1.3567,0.1525,0.1489,-0.0195
asof_pitcher_prev3_game_middle_rate,1445907.0,0.1494,0.0562,0.0,0.1458,1.0,0.0198,0.5674,0.1511,0.1479,-0.0283
asof_pitcher_prev5_game_middle_rate,1445907.0,0.1489,0.0476,0.0,0.1461,1.0,0.0198,0.4761,0.1505,0.1474,-0.032
asof_batter_n,1475092.0,3270.8474,3049.0419,0.0,2263.0,13927.0,0.0,1.0629,3386.8421,3165.3793,-0.0363
asof_batter_success_rate,1474262.0,0.5397,0.0516,0.0,0.5322,1.0,0.0006,1.2259,0.5365,0.5426,0.0589
asof_batter_middle_rate,1474262.0,0.1405,0.0272,0.0,0.142,1.0,0.0006,3.2322,0.1415,0.1396,-0.0338
asof_pitcher_fastball_rate,1474300.0,0.5544,0.0991,0.0,0.544,1.0,0.0005,0.5524,0.5544,0.5544,-0.0002
asof_pitcher_breaking_rate,1474300.0,0.2893,0.1083,0.0,0.2893,1.0,0.0005,0.0921,0.2908,0.2879,-0.0136
asof_pitcher_offspeed_rate,1474300.0,0.1563,0.1085,0.0,0.1406,1.0,0.0005,0.8563,0.1548,0.1578,0.0138
