pitcher_id,recent_5_pitch_rate,recent_10_pitch_rate,recent_20_pitch_rate,recent_50_pitch_rate
20700,0.6,0.6,0.4,0.44
20938,0.8,0.7,0.6,0.54
21095,0.8,0.7,0.8,0.74
21170,0.4,0.5,0.5,0.5
21178,0.6,0.8,0.8,0.84
21279,0.4,0.5,0.55,0.64
21372,0.6,0.5,0.5,0.48
21402,1.0,0.8,0.7,0.58
21414,0.4,0.4,0.5,0.56
21415,1.0,0.8,0.75,0.6
21432,0.4,0.4,0.55,0.56
21441,0.6,0.6,0.5,0.5
21549,0.4,0.4,0.5,0.48
21558,1.0,0.8,0.8,0.78
21571,0.6,0.8,0.65,0.68
21587,0.8,0.7,0.65,0.7
21588,0.6,0.6,0.8,0.72
21595,0.8,0.6,0.75,0.62
21622,0.0,0.3,0.35,0.4
21624,0.2,0.5,0.5,0.4583333333333333
21654,1.0,1.0,0.8,0.74
21690,0.4,0.5,0.45,0.52
21699,0.2,0.5,0.65,0.64
21733,1.0,0.7,0.65,0.58
21754,0.4,0.5,0.75,0.76
21789,0.8,0.8,0.85,0.64
21795,0.6,0.6,0.55,0.64
21813,0.4,0.2,0.25,0.38
21830,0.4,0.5,0.4,0.44
21840,0.6,0.6,0.7,0.66
21857,0.8,0.8,0.75,0.7727272727272727
21874,0.6,0.7,0.65,0.66
21875,0.4,0.5,0.5,0.46
21916,0.4,0.6,0.6,0.54
21936,0.2,0.2,0.4,0.38
21940,0.2,0.3,0.5,0.62
21943,0.0,0.2,0.35,0.48
21955,0.4,0.4,0.55,0.54
21961,0.6,0.5,0.45,0.56
21978,0.4,0.7,0.75,0.66
21991,0.4,0.6,0.35,0.48
21994,0.2,0.4,0.5,0.54
21998,0.6,0.4,0.5,0.52
22007,0.6,0.4,0.45,0.64
22015,0.6,0.5,0.55,0.38
22028,0.8,0.6,0.6,0.62
22029,1.0,1.0,0.95,0.76
22094,0.2,0.3,0.45,0.54
22099,0.8,0.7,0.65,0.56
22110,0.6,0.6,0.55,0.6
22118,1.0,0.7,0.55,0.48
22123,0.8,0.8,0.7,0.62
22131,0.6,0.5,0.65,0.66
22136,1.0,0.8,0.6,0.58
22143,0.4,0.6,0.55,0.36
22154,0.4,0.3,0.35,0.5
22156,0.8,0.7,0.6,0.5
22163,0.6,0.7,0.45,0.46
22180,1.0,0.9,0.65,0.56
22192,0.2,0.4,0.5,0.5
22201,0.6,0.8,0.75,0.62
22203,1.0,0.9,0.8,0.8076923076923077
22205,0.8,0.8,0.6,0.5
22220,0.8,0.7,0.65,0.58
22231,0.6,0.6,0.6,0.52
22233,0.8,0.5,0.45,0.54
22234,0.6,0.7,0.65,0.66
22249,0.8,0.7,0.65,0.62
22250,1.0,0.8,0.65,0.54
22253,0.8,0.7,0.6,0.6
22254,0.4,0.6,0.65,0.64
22261,0.4,0.6,0.55,0.56
22277,0.4,0.3,0.5,0.5
22278,0.6,0.4,0.35,0.48
22280,0.6,0.5,0.5,0.6
22292,0.8,0.8,0.6,0.48
22293,0.4,0.5,0.4,0.44
22302,0.4,0.3,0.3,0.42
22305,0.8,0.7,0.65,0.5238095238095238
22309,0.8,0.7,0.75,0.72
22311,0.6,0.5,0.3,0.3
22312,0.6,0.3,0.3,0.32
22318,0.6,0.6,0.45,0.44
22321,0.8,0.9,0.8,0.84
22332,0.6,0.4,0.3,0.32142857142857145
22335,0.8,0.6,0.7,0.62
22345,0.4,0.4,0.45,0.5217391304347826
22349,0.8,0.7,0.6,0.7021276595744681
22368,0.2,0.1,0.3,0.4
22372,0.6,0.6,0.6666666666666666,0.6666666666666666
22380,0.0,0.4,0.35,0.34
22389,0.6,0.7,0.55,0.52
22397,0.8,0.6,0.45,0.6
22404,0.6,0.5,0.5,0.58
22414,0.8,0.9,0.95,0.78
22419,0.6,0.4,0.55,0.5
22427,0.2,0.2,0.35,0.42
22428,1.0,0.5,0.55,0.58
22435,0.4,0.5,0.55,0.6
22458,0.2,0.4,0.5,0.56
22469,0.2,0.4,0.4,0.44
22473,0.8,0.6,0.6,0.56
22478,0.6,0.7,0.55,0.5
22487,0.6,0.7,0.85,0.8
22491,0.4,0.6,0.65,0.48
22505,1.0,0.9,0.85,0.78
22508,0.2,0.5,0.55,0.54
22524,0.8,0.6,0.65,0.52
22525,0.4,0.5,0.65,0.58
22539,0.8,0.5,0.45,0.4
22540,0.6,0.5,0.55,0.56
22541,0.6,0.6,0.5,0.32
22547,0.6,0.7,0.7,0.56
22548,0.6,0.6,0.5,0.54
22551,0.6,0.7,0.6,0.56
22575,0.4,0.5,0.6,0.68
22579,0.8,0.6,0.75,0.68
22583,1.0,0.9,0.85,0.78
22592,1.0,0.7,0.55,0.48
22595,0.8,0.5,0.45,0.48
22596,0.4,0.5,0.5,0.58
22597,0.6,0.5,0.55,0.58
22598,0.4,0.3,0.35,0.54
22615,0.6,0.5,0.45,0.5
22617,0.4,0.3,0.3,0.4
22621,0.8,0.6,0.4,0.48
22622,0.8,0.8,0.7,0.56
22624,0.4,0.4,0.45,0.38
22640,0.6,0.7,0.65,0.48
22651,0.6,0.4,0.45,0.42
22666,0.6,0.4,0.4,0.6
22667,0.4,0.3,0.45,0.42
22668,0.8,0.7,0.5,0.52
22675,0.6,0.7,0.4,0.44
22703,0.6,0.8,0.65,0.6
22708,0.6,0.7,0.6,0.58
22710,1.0,0.8,0.75,0.62
22717,0.8,0.5,0.55,0.56
22720,0.2,0.4,0.35,0.42
22721,0.8,0.6,0.65,0.6
22722,0.8,0.6,0.65,0.7
22729,0.0,0.2,0.25,0.3
22730,0.0,0.1,0.2,0.38
22731,0.8,0.8,0.75,0.64
22734,0.4,0.7,0.65,0.4
22735,0.4,0.2,0.4,0.44
22738,0.8,0.8,0.7,0.56
22739,0.6,0.625,0.625,0.625
22741,0.4,0.6,0.7,0.6
22742,0.6,0.8,0.7,0.54
22743,0.6,0.5,0.25,0.28
22759,0.4,0.5,0.55,0.38
22761,0.6,0.6,0.55,0.48
22763,0.6,0.4,0.6,0.625
22772,0.2,0.2,0.25,0.42
22776,0.8,0.6,0.5,0.54
22782,0.6,0.6,0.45,0.44
22784,0.8,0.5,0.25,0.44
22785,0.4,0.2,0.35,0.42
22786,0.6,0.7,0.7,0.7317073170731707
22795,0.4,0.6,0.5,0.52
22810,0.6,0.7,0.7,0.64
22815,0.4,0.4,0.6,0.54
22820,0.4,0.3,0.55,0.5
22821,0.6,0.5,0.6,0.66
22834,0.4,0.6,0.4,0.48
22836,0.4,0.4,0.4,0.44
22840,0.6,0.7,0.6,0.52
22842,0.8,0.8,0.7894736842105263,0.7894736842105263
22851,0.4,0.5,0.55,0.64
22867,0.4,0.5,0.45,0.38
22869,0.4,0.5,0.6,0.62
22870,0.2,0.5,0.45,0.58
22881,0.6,0.5,0.55,0.54
22890,0.0,0.3,0.35,0.36
22893,0.6,0.5555555555555556,0.5555555555555556,0.5555555555555556
22899,0.8,0.7,0.65,0.54
22901,0.2,0.3,0.4,0.3
22904,0.6,0.6,0.6,0.52
22905,0.6,0.4,0.35,0.36
22908,0.2,0.1,0.2,0.24
22911,1.0,0.8,0.6,0.56
22915,0.8,0.6,0.7,0.52
22922,0.2,0.3,0.3,0.24
22923,0.8,0.7,0.65,0.68
22925,0.4,0.6,0.6,0.4
22926,0.4,0.7,0.75,0.78
22932,0.8,0.8,0.7,0.62
22933,1.0,0.9,0.75,0.54
22960,0.8,0.8,0.85,0.74
22964,0.4,0.5,0.3,0.4
22978,0.6,0.3,0.35,0.44
22985,0.6,0.6,0.7,0.6818181818181818
22996,0.6,0.7,0.6,0.56
23003,1.0,0.8,0.65,0.6
23005,0.6,0.5,0.45,0.52
23023,0.6,0.4,0.3,0.5
23024,0.8,0.6,0.7,0.54
23030,0.4,0.4,0.45,0.5
23035,0.8,0.6,0.7,0.58
23041,1.0,1.0,0.8823529411764706,0.8823529411764706
23043,0.6,0.6,0.5,0.5
23047,0.6,0.6,0.45,0.56
23053,1.0,0.9,0.85,0.72
23054,0.2,0.5,0.55,0.6
23082,0.2,0.4,0.45,0.54
23090,0.8,0.7,0.75,0.54
23091,0.4,0.4,0.45,0.5483870967741935
23092,0.2,0.1,0.35,0.48
23094,0.6,0.3,0.25,0.4
23097,0.4,0.6,0.35,0.34
23101,0.2,0.2,0.3,0.4
23105,0.6,0.6,0.5,0.46
23107,1.0,0.7,0.75,0.6944444444444444
23110,0.8,0.8,0.7,0.64
23112,0.8,0.7,0.7,0.56
23115,0.6,0.4,0.45,0.56
23116,0.8,0.7,0.7,0.7
23117,1.0,0.9,0.9,0.7692307692307693
23122,1.0,0.9,0.85,0.74
23137,1.0,0.9,0.8,0.66
23139,1.0,0.8,0.75,0.66
23145,0.2,0.1,0.25,0.38
23148,0.8,0.9,0.7777777777777778,0.7777777777777778
23150,0.6,0.7,0.75,0.7
23151,0.6,0.4,0.45,0.46
23154,0.6,0.6,0.55,0.5
23157,0.8,0.8,0.8,0.64
23158,0.0,0.0,0.35,0.28
23175,0.6,0.5,0.6,0.68
23177,0.4,0.5,0.4,0.46
23182,0.6,0.6,0.6,0.66
23190,0.6,0.6,0.55,0.48
23194,0.8,0.9,0.75,0.72
23204,0.4,0.3,0.3,0.38
23206,0.4,0.3,0.5,0.46
23225,0.4,0.6,0.65,0.58
23229,1.0,0.7,0.55,0.54
23231,0.4,0.4,0.45,0.38
